Jump	Praea Euq BE-M b35-1	3.84 Ly	Nyarlathotep	31 Aug 2022, 23:01
Jump	Praea Euq MI-K d8-34	10.53 Ly	Nyarlathotep	31 Aug 2022, 23:00
Jump	Praea Euq MI-K d8-27	5.73 Ly	Nyarlathotep	31 Aug 2022, 22:52
Jump	Praea Euq ZS-N b34-5	10.69 Ly	Nyarlathotep	31 Aug 2022, 22:50
Jump	Praea Euq XX-N b34-0	4.41 Ly	Nyarlathotep	31 Aug 2022, 22:38
Jump	Praea Euq TR-P b33-2	12.07 Ly	Nyarlathotep	31 Aug 2022, 22:37
Jump	Praea Euq WV-U c16-4	3.04 Ly	Nyarlathotep	31 Aug 2022, 22:35
Jump	Praea Euq WV-U c16-3	5.40 Ly	Nyarlathotep	31 Aug 2022, 22:23
Jump	Praea Euq SR-P b33-4	1.85 Ly	Nyarlathotep	31 Aug 2022, 22:21
Jump	Praea Euq SR-P b33-1	7.37 Ly	Nyarlathotep	31 Aug 2022, 22:19
Jump	Praea Euq SR-P b33-0	13.66 Ly	Nyarlathotep	31 Aug 2022, 22:18
Jump	Praea Euq OL-R b32-1	4.76 Ly	Nyarlathotep	31 Aug 2022, 22:06
Jump	Praea Euq OL-R b32-0	12.59 Ly	Nyarlathotep	31 Aug 2022, 22:03
Jump	Praea Euq JF-T b31-0	6.78 Ly	Nyarlathotep	31 Aug 2022, 22:02
Jump	Praea Euq JF-T b31-1	10.25 Ly	Nyarlathotep	31 Aug 2022, 22:01
Jump	Praea Euq RP-W c15-6	8.00 Ly	Nyarlathotep	31 Aug 2022, 21:54
Jump	Praea Euq RP-W c15-7	9.85 Ly	Nyarlathotep	31 Aug 2022, 21:49
Jump	Praea Euq EZ-U b30-1	8.36 Ly	Nyarlathotep	31 Aug 2022, 21:48
Jump	Praea Euq EZ-U b30-2	8.26 Ly	Nyarlathotep	31 Aug 2022, 21:47
Jump	Praea Euq HC-M d7-68	5.57 Ly	Nyarlathotep	31 Aug 2022, 21:46
Jump	Praea Euq AT-W b29-4	7.44 Ly	Nyarlathotep	31 Aug 2022, 21:43
Jump	Praea Euq HC-M d7-67	5.54 Ly	Nyarlathotep	31 Aug 2022, 21:41
Jump	Praea Euq ZS-W b29-4	10.60 Ly	Nyarlathotep	31 Aug 2022, 21:35
Jump	Praea Euq MJ-Y c14-6	7.40 Ly	Nyarlathotep	31 Aug 2022, 21:34
Jump	Praea Euq ID-A c14-14	7.17 Ly	Nyarlathotep	31 Aug 2022, 21:33
Jump	Praea Euq VM-Y b28-4	8.17 Ly	Nyarlathotep	31 Aug 2022, 21:32
Jump	Praea Euq VM-Y b28-1	7.24 Ly	Nyarlathotep	31 Aug 2022, 21:31
Jump	Praea Euq VM-Y b28-2	9.18 Ly	Nyarlathotep	31 Aug 2022, 21:31
Jump	Praea Euq RG-A b28-2	6.42 Ly	Nyarlathotep	31 Aug 2022, 21:30
Jump	Praea Euq RG-A b28-0	10.25 Ly	Nyarlathotep	31 Aug 2022, 21:23
Jump	Praea Euq DW-N d6-28	12.73 Ly	Nyarlathotep	31 Aug 2022, 21:21
Jump	Praea Euq MA-C b27-4	10.20 Ly	Nyarlathotep	31 Aug 2022, 21:20
Jump	Praea Euq MA-C b27-2	14.56 Ly	Nyarlathotep	31 Aug 2022, 21:19
Jump	Praea Euq DW-N d6-14	8.83 Ly	Nyarlathotep	31 Aug 2022, 21:19
Jump	Praea Euq IU-D b26-3	8.82 Ly	Nyarlathotep	31 Aug 2022, 21:18
Jump	Praea Euq EO-F b25-3	6.85 Ly	Nyarlathotep	31 Aug 2022, 21:13
Jump	Praea Euq EO-F b25-5	9.54 Ly	Nyarlathotep	31 Aug 2022, 21:10
Jump	Praea Euq DT-F b25-0	8.06 Ly	Nyarlathotep	31 Aug 2022, 21:09
Jump	Praea Euq YM-H b24-4	11.97 Ly	Nyarlathotep	31 Aug 2022, 21:08
Jump	Praea Euq AR-D c12-16	9.80 Ly	Nyarlathotep	31 Aug 2022, 20:47
Jump	Praea Euq YM-H b24-0	10.61 Ly	Nyarlathotep	31 Aug 2022, 20:46
Jump	Praea Euq YP-P d5-55	6.80 Ly	Nyarlathotep	31 Aug 2022, 20:41
